"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
Harding did not appear to be much astonished at this incident, and he cited several examples of tame apes, to whom the use of tobacco had become quite familiar.	Cyrus Smith ne se montra pas autrement étonné de l'incident, et il cita plusieurs exemples de singes apprivoisés, auxquels l'usage du tabac était devenu familier.
How was it that a man so exact and fastidious could have made this error of a day?	Et maintenant, comment un homme si exact, si méticuleux, avait-il pu commettre cette erreur de jour ?
Aramis blushed excessively, and snatched rather than took the handkerchief from the hand of the Gascon.	Aramis rougit excessivement et arracha plutôt qu'il ne prit le mouchoir des mains du Gascon. «Ah!
"Ah! do not weep for such a trifle, my graceful maid! 'tis a name to which one must get accustomed, that is all.	– Ah ! ne pleurons pas pour si peu, ma gracieuse ! c’est un nom auquel il faut s’accoutumer, voilà tout.
However, the officer did not hear the unhappy girl calling him; he was too far away.	Du reste, l’officier n’entendait pas la malheureuse qui l’appelait. Il était trop loin.
What do you see amiss in me?"	Que me manque-t-il donc?
"He grazed his cattle on these slopes, and he learned to dig for tin when the bronze sword began to supersede the stone axe.	– Il faisait paître ses troupeaux sur les pentes que vous voyez, et il apprenait à creuser pour trouver du fer, quand le glaive de bronze a commencé à affirmer sa supériorité sur la hache de pierre.
Many years before this bogus abbey, with its congregation of irreverent jesters, was founded, there stood upon this same spot a monastery of a sterner kind, whose monks were of a somewhat different type to the revellers that were to follow them, five hundred years afterwards.	Bien des années avant la fondation de cette plaisante abbaye et de ses irrévérencieux farceurs, il y avait au meme endroit un monastere d’un genre plus sérieux, dont les moines ne ressemblaient en rien aux libertins qui leur succéderaient, quelque cinq cents ans plus tard.
Étienne had only time to parry the first blow with his arm.	Étienne n'avait eu que le temps de parer le premier coup avec son bras.
Excuse me.	Excusez-moi...
He looked at it closely and saw:	Il y porta les yeux et vit :
Then we cleaned up, and put everything straight (a continual labour, which was beginning to afford me a pretty clear insight into a question that had often posed me - namely, how a woman with the work of only one house on her hands manages to pass away her time), and, at about ten, set out on what we had determined should be a good day's journey.	Puis nous fîmes le ménage dans le bateau et mîmes tout en ordre (cet exercice quotidien avait fini par répondre a une question que je me posais souvent : a quoi peut bien passer son temps une femme qui n’a rien d’autre a faire que s’occuper d’une seule maison ?) ; et, vers dix heures, nous nous mîmes en route, bien décidés a faire un bon bout de chemin.
The other prisoners had better usage; two of them were kept pinioned, indeed, because the captain was not able to trust them; but the other two were taken into my service, upon the captain’s recommendation, and upon their solemnly engaging to live and die with us; so with them and the three honest men we were seven men, well armed; and I made no doubt we should be able to deal well enough with the ten that were coming, considering that the captain had said there were three or four honest men among them also.	Les autres prisonniers étaient mieux traités: deux d'entre eux, à la vérité, avaient les bras liés, parce que le capitaine n'osait pas trop s'y fier; mais les deux autres avaient été pris à mon service, sur la recommandation du capitaine et sur leur promesse solemnelle de vivre et de mourir avec nous. Ainsi, y compris ceux-ci et les trois braves garçons, nous étions sept hommes bien armés; et je ne mettais pas en doute que nous ne pussions venir à bout des dix arrivants, considérant surtout ce que le capitaine avait dit, qu'il y avait trois ou quatre honnêtes hommes parmi eux.
Fabrice se cache et s’appelle là-bas M. Joseph Bossi ; ne va pas le trahir par étourderie, n’aie pas l’air de le connaître ; mes ennemis mettront peut-être des espions à tes trousses.	Fabrizio is in hiding, and is known there as Signor Giuseppe Bossi; do not give him away by any stupid action, do not appear to know him; my enemies will perhaps set spies on your track.
At his shout two or three pirates awoke, jumped up, and, rushing on Ayrton, endeavored to throw him down.	Deux ou trois pirates, réveillés à sa voix, s'étaient relevés, et, se jetant sur Ayrton, ils essayèrent de le terrasser.
No doubt her backside was not better made than any one else's.	Sans doute qu'elle n'avait pas le derriere mieux fait qu'une autre.
The opinion of Athos was that d’Artagnan had lost his letter in the skirmish.	L'avis d'Athos avait été que d'Artagnan avait perdu sa lettre dans la bagarre.
Very well, then; let us get all the good we can out of this expedition, and don't let us haggle about the chances."	Donc, ce qu'il y a de bon à prendre de cette expédition, prenons-le, et sans marchander!»
That certainly was a crime: and was I fit to die? Or was the vault under the chancel of Gateshead Church an inviting bourne?	Ne venais-je pas de concevoir le coupable désir de mourir volontairement? c'était là certainement un crime.
This occupied them nearly forty minutes, and it was ten o'clock when they returned to Cyrus Harding whom Spilett had not left.	Ce fut l'affaire de quarante minutes environ, et il était dix heures quand le marin, Nab et Harbert revinrent auprès de Cyrus Smith, que Gédéon Spilett n'avait pas quitté.
"I see no enemy to a fortunate issue but in the brow; and that brow professes to say,--'I can live alone, if self-respect, and circumstances require me so to do. I need not sell my soul to buy bliss. I have an inward treasure born with me, which can keep me alive if all extraneous delights should be withheld, or offered only at a price I cannot afford to give.' The forehead declares, 'Reason sits firm and holds the reins, and she will not let the feelings burst away and hurry her to wild chasms. The passions may rage furiously, like true heathens, as they are; and the desires may imagine all sorts of vain things: but judgment shall still have the last word in every argument, and the casting vote in every decision.	«Dans le front seulement, je vois un ennemi de l'heureuse destinée que j'ai prédite. Ce front a l'air de dire: «Je peux vivre seule, si ma dignité et les circonstances l'exigent; je n'ai pas besoin de vendre mon âme pour acheter le bonheur; j'ai un trésor intérieur, né avec moi, qui saura me faire vivre si les autres joies me sont refusées, ou s'il faut les acheter à un prix que je ne puis donner; ma raison est ferme et tient les rênes; elle ne laissera pas mes sentiments se précipiter dans le vide; la passion pourra crier avec fureur, en vraie païenne qu'elle est; les désirs pourront inventer une infinité de choses vaines, mais le jugement aura toujours le dernier mot, et sera chargé de voter toute décision.
The report ran that M. Hennebeau was at the pit, and they talked of letting him down by the neck, to see if he would hew his coal himself.	Le bruit courait que M. Hennebeau était a la fosse, et on parlait de le descendre par le cou, pour voir s'il abattrait son charbon lui-meme.
I need not tell you of those who cheat at play, and of how one hears one fine day of their hasty disappearance and tardy condemnation.	Je n'ai pas besoin de vous parler de ceux qui volent au jeu, et dont un jour on apprend le départ nécessaire et la condamnation tardive.
They had no means of quitting the reef; no fire, nor any means of obtaining it.	Ils n'avaient aucun moyen de quitter ce récif. Pas de feu ni de quoi en faire.
Here and there I could see puffs and jets of steam curling up into the air, called in Icelandic 'reykir,' issuing from thermal springs, and indicating by their motion the volcanic energy underneath.	Je voyais ça et là des fumerolles monter dans les airs; ces vapeurs blanches nommées «reykir» en langue islandaise, venaient des sources thermales, et elles indiquaient, par leur violence, l'activité volcanique du sol.
Then I entered into the manner of peoples going over to those countries to settle, how they had a quantity of land given them by the Constitution of the place; and if not, that it might be purchased at so easy a rate this it was not worth naming.	Puis j'entrai dans des détails sur l'établissement des gens en ces contrées, comment, par la constitution du pays, on leur allouait des lots de terres, et que d'ailleurs on pouvait en acheter à un prix si bas qu'il ne valait même pas la peine d'être mentionné.
By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary. Vanity and pride are different things, though the words are often used synonymously.	La nature nous y porte et bien peu parmi nous échappent a cette complaisance que l’on nourrit pour soi-meme a cause de telles ou telles qualités souvent imaginaires. La vanité et l’orgueil sont choses différentes, bien qu’on emploie souvent ces deux mots l’un pour l’autre ; on peut etre orgueilleux sans etre vaniteux.
– Par le grand vent qu’il fait aujourd’hui, je n’entends que fort imparfaitement les avis que vous daignez me donner en chantant, le son du piano couvre la voix.	"There is such a wind blowing to-day that I can only catch very faintly the advice you are so kind as to give me in your singing; the sound of the piano is drowning your voice.
There also were stony masses buried beneath carpets of axidia and sea anemone, bristling with long, vertical water plants, then strangely contoured blocks of lava that testified to all the fury of those plutonic developments.	C'étaient aussi des masses pierreuses enfouies sous des tapis d'axidies et d'anémones, hérissées de longues hydrophytes verticales, puis des blocs de laves étrangement contournés qui attestaient toute la fureur des expansions plutoniennes.
It was also noticed that his horror for Bohemian women and gypsies had seemed to redouble for some time past.	On remarquait en outre que son horreur pour les égyptiennes et les zingari semblait redoubler depuis quelque temps.
"Vy, from vot I see," he cried, in his high, broken treble, "there's some on you that ain't fit to flick a fly from a joint o' meat.	-- Eh! d'après ce que je vois, dit-il de son fausset aigu et chevrotant, il y en a parmi vous qui ne sont pas capables de faire partir une mouche posée sur de la viande.
Soon after they were gone he rang the bell: a message came that I and Adele were to go downstairs.	Après leur départ, il sonna, et on vint m'avertir que j'eusse à descendre avec Adèle.
Happiness robbed her of sleep.	Le bonheur lui ôtait le sommeil.
It wasn't always so.	Il n'en a pas toujours été ainsi.
"Well," said Porthos, "in the first place make a bargain with the mercer, and a good bargain."	-- Eh bien, dit Porthos, faites d'abord prix avec le mercier, et bon prix.
"I hope you will drink your coffee."	—J'espere que vous allez boire votre café.
I could have shot as many as I pleased, but was very sparing of my powder and shot, and therefore had more mind to kill a she-goat if I could, which I could better feed on; and though there were many goats here, more than on my side the island, yet it was with much more difficulty that I could come near them, the country being flat and even, and they saw me much sooner than when I was on the hills.	J'en aurais pu tuer tout autant qu'il m'aurait plu, mais j'étais très-ménager de ma poudre et de mon plomb; j'eusse bien préféré tuer une chèvre s'il eût été possible, parce qu'il y aurait eu davantage à manger. Cependant, quoique les boucs fussent en plus grande abondance dans cette portion de l'île que dans l'autre, il était néanmoins beaucoup plus difficile de les approcher, parce que la campagne, étant plate et rase, ils m'appercevaient de bien plus loin que lorsque j'étais sur les collines.
It would not be difficult to make him talk; and, as there was no time to lose, Fix prepared to make himself known.	Il savait qu'il n'était pas très difficile de faire parler ce garçon, et il se décida à rompre l'incognito qu'il avait gardé jusqu'alors.
Au milieu de toutes ces injures, Clélia vint à se souvenir du sourire avec lequel il regardait les gendarmes qui l’entouraient lorsqu’il sortait du bureau d’écrou pour monter à la tour Farnèse.	In the midst of all this abuse, Clelia happened to remember the smile with which he had looked at the constables who surrounded him when he came out of the turnkey's office to go up to the Torre Farnese.
C’était surtout une femme de bonne foi avec elle-même.	She was above all things a woman who was honest with herself.
Three years had passed away since the escape of the prisoners from Richmond, and how often during those three years had they spoken of their country, always present in their thoughts!	Trois ans s'étaient écoulés depuis que les prisonniers de Richmond s'étaient enfuis, et que de fois, pendant ces trois années, ils parlèrent de la patrie, toujours présente à leur pensée!
Nothing could have been less to old Sorel's liking; he might perhaps have forgiven Julien his slender build, little adapted to hard work, and so different from that of his elder brothers; but this passion for reading he detested: he himself was unable to read.	Rien n’était plus antipathique au vieux Sorel ; il eût peut-être pardonné à Julien sa taille mince, peu propre aux travaux de force, et si différente de celle de ses aînés ; mais cette manie de lecture lui était odieuse, il ne savait pas lire lui-même.
"And I might add," I said, "that when these birds are properly cooked, they're at least worth a stab of the fork."	-- Et j'ajouterai, dis-je, que cet oiseau, convenablement préparé, vaut son coup de fourchette. »
She felt lost, sinking at random into indefinable abysses, and it was almost with joy that, on reaching the "Croix-Rouge," she saw the good Homais, who was watching a large box full of pharmaceutical stores being hoisted on to the "Hirondelle."	Elle se sentait perdue, roulant au hasard dans des abîmes indéfinissables; et ce fut presque avec joie qu’elle aperçut, en arrivant à la Croix rouge, ce bon Homais qui regardait charger sur l’Hirondelle une grande boîte pleine de provisions pharmaceutiques.
I had hitherto believed that nothing could equal the beauty of the castle of Thunder-ten-tronckh; but I found I was mistaken.	J'avais cru jusque-là qu'il n'y avait rien sur la terre de si beau que le château de Thunder-ten-tronckh; j'ai été détrompée.
Others will love you; you will love them."	D’autres vous aimeront... vous les aimerez.
But the contagion was shaking his stronger head, and he lost the exact sensation of reality.	Mais une contagion ébranlait sa tete plus solide, il perdit la sensation juste du réel.
When the gay−plumaged birds grow weary, and the earth—	Quando las pintadas avesMudas están, y la tierra…
Then it was that he approached the unhappy little creature, which was so hated and so menaced.	C’est alors qu’il s’était approché de la malheureuse petite créature si haïe et si menacée.
My uncle and I treated this little tribe with kindness; and in a very short time we each had three or four of these brats on our shoulders, as many on our laps, and the rest between our knees.	Mon oncle et moi, nous fîmes très bon accueil à cette «couvée», et bientôt il y eut trois ou quatre de ces marmots sur nos épaules, autant sur nos genoux et le reste entre nos jambes.
"This is what I imagine, messire.	– Voilà ce que j’imagine, messire.
'There's more evidence to come yet, please your Majesty,' said the White Rabbit, jumping up in a great hurry; 'this paper has just been picked up.'	« Il y a d’autres dépositions à recevoir, s’il plaît à Votre Majesté, » dit le Lapin, se levant précipitamment ; « on vient de ramasser ce papier. »
"Madame," said d’Artagnan, "I have only done what every gentleman would have done in my place; you owe me no thanks."	-- Madame, dit d'Artagnan, je n'ai fait que ce que tout gentilhomme eût fait à ma place, vous ne me devez donc aucun remerciement.
If the villain were discovered, why make a martyr of him in order that his awful heroism might turn other heads, and give birth to a long line of incendiaries and murderers?	Pourquoi, si l'on découvrait le bandit, faire un martyr, dont l'effroyable héroisme détraquerait d'autres tetes, enfanterait toute une lignée d'incendiaires et d'assassins?
"Abomination! scholars addressing a bourgeois in that fashion in my day would have been flogged with a fagot, which would have afterwards been used to burn them."	« Abomination ! des écoliers qui parlent de la sorte à un bourgeois ! de mon temps on les eût fustigés avec un fagot dont on les eût brûlés ensuite. »
"Did you answer it yourself?"	– Avez-vous répondu vous-même ?
But, by St. Michael, if you should dare to deceive me--"	Mais, par saint Michel! garde-toi bien de te tromper!»
In spite of her resolve to the contrary, she had revealed to Julien the whole business of the lease.	Malgré ses résolutions, elle avait avoué à Julien toute l’affaire de l’adjudication.
"It is precisely for that reason, Sir John, that I am laying odds of two to one in his favour."	-- C'est précisément pour ce motif, Sir John, que je mise à deux contre un en sa faveur.
Such was the situation between Fix and Passepartout. Meanwhile Phileas Fogg moved about above them in the most majestic and unconscious indifference.	Telle était donc la situation respective de ces deux hommes, et au-dessus d'eux Phileas Fogg planait dans sa majestueuse indifférence.
Nevertheless, we are sparing nothing for the sake of getting at the truth; he is already thoroughly dislocated, we are applying all the herbs of Saint John's day; as saith the old comedian Plautus,−−	Il est déjà tout disloqué. Nous y mettons toutes les herbes de la Saint-Jean, comme dit le vieux comique Plautus,
Or, rien au monde ne pouvait faire plus de peine au prince qu’une telle apparence de désertion : c’était là une de ses faiblesses les plus marquées, les démarches qui pouvaient être imputées à mépris pour sa ville capitale lui perçaient le cœur.	Now nothing in the world was more capable of distressing the Prince than an apparent desertion of this sort: it was one of his most pronounced weaknesses; any action that might be interpreted as showing contempt for his capital city pierced him to the heart.
"And your brother?"	--Et votre frère?
– Qui n’a pas ouï parler de cette beauté si célèbre ?	"Who has not heard tell of so famous a beauty?
"No, a water machine."	-- Non, une machine à eau.»
Gringoire ceased, awaiting the effect of his harangue on the young girl.	Gringoire se tut, attendant l’effet de sa harangue sur la jeune fille.
The wind had died away completely with the twilight.	Le vent était tombé complètement avec le crépuscule.
"I want you to come over at once."	--Je veux que vous veniez tout de suite.
The curious child had detached the bag from the goat's neck, had opened it, and had emptied out its contents on the rush matting; it was an alphabet, each letter of which was separately inscribed on a tiny block of boxwood.	La curieuse enfant avait détaché le sachet suspendu au cou de la chèvre, l’avait ouvert, et avait vidé sur la natte ce qu’il contenait. C’était un alphabet dont chaque lettre était inscrite séparément sur une petite tablette de buis.
Then a cart filled with long strips of iron passed by, and made a deafening metallic vibration against the walls of the houses.	Mais une charrette pleine de longs rubans de fer passa, en jetant contre le mur des maisons une vibration métallique assourdissante.
"Is there immediate danger?" murmured Mr. Mason.	«Y a-t-il un danger immédiat? murmura M. Mason.
At eight o'clock, however, the colonists observed a movement on board the "Speedy."	On halait sur les palans des porte-embarcations, et un canot était mis à la mer.
'I shall cease to see you, I shall bar the door of my prison against you,' cried Julien, 'and most certainly I shall kill myself in despair, the day after, unless you swear to me that you will take no step that will make us both a public spectacle.	– Je cesse de te voir, je te fais fermer ma prison, s’écria Julien, et bien certainement le lendemain je me tue de désespoir, si tu ne me jures de ne faire aucune démarche qui nous donne tous les deux en spectacle au public.
She herself was not hungry, she said.	Elle, disait-elle, n'avait pas faim.
All at once, the recluse beheld the stone (for she was standing guard and never took her eyes from it), move, and she heard Tristan's voice encouraging the workers.	Tout à coup la recluse vit la pierre (car elle faisait sentinelle et ne la quittait pas du regard) s’ébranler, et elle entendit la voix de Tristan qui encourageait les travailleurs.
Here then I was in the third storey, fastened into one of its mystic cells; night around me; a pale and bloody spectacle under my eyes and hands; a murderess hardly separated from me by a single door: yes--that was appalling--the rest I could bear; but I shuddered at the thought of Grace Poole bursting out upon me.	J'étais donc au troisième, enfermée dans une chambre mystérieuse, pendant la nuit, et ayant devant les yeux le spectacle d'un homme pâle et ensanglanté; et l'assassin était séparé de moi par une simple porte; voilà ce qu'il y avait de plus terrible: le reste, je pouvais le supporter; mais je tremblais à la pensée de voir Grace Poole se précipiter sur moi.
D’Artagnan and Planchet followed the gentleman at a distance of five hundred paces.	D'Artagnan et Planchet suivirent le gentilhomme à cinq cents pas de distance.
The matter was simple; Claude Frollo had taken him in, had adopted him, had nourished him, had reared him.	La chose était simple. Claude Frollo l’avait recueilli, l’avait adopté, l’avait nourri, l’avait élevé.
Deux ou trois ans après cette grande époque de sa vie, cette jeune fille prenait un cavalier servant : quelquefois le nom du sigisbée choisi par la famille du mari occupait une place honorable dans le contrat de mariage.	Two or three years after that great event in her life, the young lady in question used to engage a devoted admirer: sometimes the name of the _cicisbeo_ chosen by the husband's family occupied an honourable place in the marriage contract.
"In each case the outside porter will send for the hall porter, to whom also you will give a shilling.	– Chaque fois, le portier appellera un chasseur, à qui vous remettrez également un shilling.
It was of interest to me to hear these men, who were spending their lives in fighting against our neighbours, discussing their character and ways.	Je prenais grand intérêt à écouter ces hommes, qui passaient leur vie à combattre nos voisins, à en discuter le caractère et les méthodes.
I am in what you call the high spirits to-night." "So it seems!" said I, in my blunt fashion.	Ce soir je suis dans cet état d'esprit que vous appelez de l'entrain.
Beyond the walls, several suburban villages pressed close about the gates, but less numerous and more scattered than those of the University.	Au delà des murailles, quelques faubourgs se pressaient aux portes, mais moins nombreux et plus épars que ceux de l’Université.
Only, and this was also one way of interrogating the archdeacon, he followed the direction of his vision, and in this way the glance of the unhappy deaf man fell upon the Place de Grève.	Seulement, et c’était encore une manière d’interroger l’archidiacre, il suivit la direction de son rayon visuel, et de cette façon le regard du malheureux sourd tomba sur la place de Grève.
You perceive the devilish cunning of it, for really it would be almost impossible to make a case against the real murderer.	Vous mesurez la ruse infernale qui présida à cet assassinat : il était réellement impossible d’établir un dossier contre le véritable meurtrier.
He went out, mounted to his own room, fell into a chair, and muttered:	Il quitta la chambre de Mr. Fogg, monta dans la sienne, tomba sur une chaise, et employant une phrase assez vulgaire de son pays :
Laurent and Therese had witnessed this brief scene in a grave and impassive manner.	Laurent et Thérèse avaient assisté à cette courte scène d'un air grave et impassible.
Par exemple, il y a trois jours, une de ces femmes qui distribuent les serviettes blanches tous les matins dans les appartements a eu l’idée de faire perdre au prince la clef d’un de ses bureaux anglais.	For instance, three days ago, one of those women who put out the clean towels every morning in the rooms, took it into her head to make the Prince lose the key of one of his English desks.
The elephant grunted out his satisfaction, and, clasping Passepartout around the waist with his trunk, lifted him as high as his head.	L'éléphant fit entendre quelques grognement de satisfaction. Puis, prenant Passepartout par la ceinture et l'enroulant de sa trompe, il l'enleva jusqu'à la hauteur de sa tête.
Then they had taken the pit-bank by assault; they would seat themselves on it and slide down the bare portions still boiling with interior fires; they glided among the briers in the older parts, hiding for the whole day, occupied in the quiet little games of mischievous mice.	Puis, ils avaient pris d'assaut le terri, ils en descendaient sur leur derriere les parties nues, bouillantes encore des incendies intérieurs, ils se glissaient parmi les ronces des parties anciennes, cachés la journée entiere, occupés a des petits jeux tranquilles de souris polissonnes.
Phileas Fogg, without getting in the least flurried, then proposed to purchase the animal outright, and at first offered a thousand pounds for him.	La somme était belle, cependant. En admettant que l'éléphant employât quinze heures à se rendre à Allahabad, c'était six cents livres (15 000 F) qu'il rapporterait à son propriétaire.
That study of his was a museum, and nothing else.	Ce cabinet était un véritable musée.
Could you reckon for an instant, knowing the fiery character of Mademoiselle de La Mole, upon a secrecy which she had not imposed on herself?	Pourrait-on compter un instant, avec le caractère fougueux de Mlle de La Mole, sur le secret qu’elle ne se serait pas imposé à elle-même?
Then, raising his voice:	Puis, haussant la voix:
But we've got the deuce of a hill to come down.	Mais nous, nous avons une maudite colline à doubler.
Come along! we must see if it will carry all five of us!"	Il faut pourtant voir s'il peut nous porter tous les cinq!»
"And I have no inclination to play."	-- Et je n'ai point l'envie de jouer.
"Good!	– Noël !
"Come to me--come to me entirely now," said he; and added, in his deepest tone, speaking in my ear as his cheek was laid on mine, "Make my happiness--I will make yours."	-- Venez à moi; venez tout entière à moi,» dit-il; puis il ajouta tout bas, me parlant à l'oreille, pendant que sa joue touchait la mienne: «Faites mon bonheur, et je ferai le vôtre.
And now—to-night—Ethelred—ha! ha!—the breaking of the hermit’s door, and the death-cry of the dragon, and the clangor of the shield!—say, rather, the rending of her coffin, and the grating of the iron hinges of her prison, and her struggles within the coppered archway of the vault!	Et maintenant,—cette nuit,—Ethelred,—ha! ha!—la porte de l'ermite enfoncée, et le râle du dragon et le retentissement du bouclier!—Dites plutôt le bris de sa bière, et le grincement des gonds de fer de sa prison, et son affreuse lutte dans le vestibule de cuivre!
They all well knew Father Quandieu, the doyen of the Montsou captains, an old man whose skin and hair were quite white, and who was in his seventies, a miracle of fine health in the mines.	Tous connaissaient bien le pere Quandieu, le doyen des porions de Montsou, un vieux tout blanc de peau et de poils, qui allait sur ses soixante-dix ans, un vrai miracle de belle santé dans les mines.
He ran in little zigzags from one knot of people to another, whilst his peculiar appearance drew a running fire of witticisms as he went, so that he reminded me irresistibly of a snipe skimming along through a line of guns.	Il se précipitait en courts zigzags, d'un groupe à l'autre, son air extraordinaire attirant sur lui un feu roulant de traits d'esprit, si bien qu'il me rappelait malgré moi une bécasse voletant à travers une ligne de fusils.
"I suppose so," replied Pencroft, drawing from his lips the object which had cost him a grinder--!	-- Il faut croire», répondit Pencroff, en retirant de ses lèvres l'objet qui lui coûtait une mâchelière!...
Suddenly Madame de Renal threw herself at her husband's feet: Julien saw that she was going to reveal everything and to ruin herself for ever.	Tout à coup Mme de Rênal se jeta aux pieds de son mari : Julien vit qu’elle allait tout dire et se perdre à jamais.
It was impossible, therefore, to return every day to the Chimneys, and it was agreed that the little colony should camp under a hut of branches, so that the important operation could be followed night and day.	Il ne fallait donc pas songer à revenir chaque jour aux Cheminées, et il fut convenu que la petite colonie camperait sous une hutte de branchages, de manière que l'importante opération fût suivie nuit et jour.
Then, casting a glance on the handsome young man, who was scarcely twenty-five years of age, and whom he was leaving in his gore, deprived of sense and perhaps dead, he gave a sigh for that unaccountable destiny which leads men to destroy each other for the interests of people who are strangers to them and who often do not even know that they exist.	Puis, jetant un dernier coup d'oeil sur le beau jeune homme, qui avait vingt-cinq ans à peine et qu'il laissait là, gisant, privé de sentiment et peut-être mort, il poussa un soupir sur cette étrange destinée qui porte les hommes à se détruire les uns les autres pour les intérêts de gens qui leur sont étrangers et qui souvent ne savent pas même qu'ils existent.
"My God! What can have become of her, then?"	-- Ah! mon Dieu! mais qu'est-elle devenue alors?
And there was our second battalion laid out on the hillside.	Aussi voilà votre second bataillon étendu sur la pente.
And what do they pay you in your house, your wife and the gentleman who is this minute wearing out her skin?"	Et, chez toi, qu'est-ce qu'il te la paie, ta femme, le monsieur qui est en train de lui user la peau?
The exploration was therefore continued for another two miles in the midst of country covered with eucalypti, which predominated in the woods of this portion of the island.	L'exploration continua donc, pendant deux milles au moins, au milieu d'une contrée couverte d'eucalyptus, qui dominaient tous les bois de cette portion de l'île.
That's one, if you like, who loved Marguerite."	En voilà un qui aimait Marguerite!
It seems to me now that never again shall I have the courage to start school.	Il me semble maintenant que jamais plus je n’aurai le courage de recommencer la classe.
While he and his companions were in pursuit of the convicts, the latter might very probably pay another visit to the plateau, and it would be useless to give them an opportunity of recommencing their work of destruction.	Tandis que ses compagnons et lui seraient à la poursuite des convicts, ceux-ci pourraient bien rendre une nouvelle visite au plateau, et il ne fallait pas leur donner sujet de reprendre leur métier de pillards et d'incendiaires.
I asked #100, and he rose up to #30; I fell to #80, and he rose again to #40; in a word, he offered #50, and I consented, only demanding a piece of lace, which I though came to about #8 or #9, as if it had been for my own wear, and he agreed to it.	Je demandai 100£, et il monta à 30£; je tombai à 80£; et de nouveau il monta jusqu'à 40£; en un mot il offrit 50£ et je consentis, demandant seulement une pièce de dentelle, qui, je pense, était de 8 ou 9£, comme si c'eût été pour la porter moi-même, et il s'y accorda.
"Don't pull it; you've got it all wrong, you stupid ass!" you shout.	– Mais ne tire pas comme ça ! Tu as tout démoli, espece d’andouille ! lancez-vous.
Le lendemain, vers les minuit, il vint à cheval, et bien accompagné, chanter sous les fenêtres de la Fausta un air alors à la mode et dont il changeait les paroles.	The following evening, about midnighl, he came on horseback and with a good escort to sing under Fausta's windows an air then in fashion, the words of which he altered.
He speaks Danish perfectly."	Il parle parfaitement le danois.
"Well!" she replied.	-- Eh bien? répondit-elle.
You will say that I keep it."	Vous direz que je la garde.
After some moments' silence the Professor was himself again.	Après quelques instants de silence, l'oncle fut vaincu par le professeur.
I could not tell what part of the world this might be, otherwise than that I knew it must be part of America, and, as I concluded by all my observations, must be near the Spanish dominions, and perhaps was all inhabited by savages, where, if I had landed, I had been in a worse condition than I was now; and therefore I acquiesced in the dispositions of Providence, which I began now to own and to believe ordered everything for the best; I say I quieted my mind with this, and left off afflicting myself with fruitless wishes of being there.	D'après toutes mes observations, je conclus qu'elle confinait aux possessions espagnoles, qu'elle était sans doute toute habitée par des Sauvages, et que si j'y eusse abordé, j'aurais eu à subir un sort pire que n'était le mien. J'acquiesçai donc aux dispositions de la Providence, qui, je commençais à le reconnaître et à le croire, ordonne chaque chose pour le mieux.
It was that pride of his which was taking him there.	C'était son orgueil qui l'entraînait à cette expédition.
